filename,UniProtKB-AC-normalized,data_row_count,is_entangled
AF-A0A0A7EPL0-F1-model_v6.csv,A0A0A7EPL0,65,True
AF-A0A140JWM8-F1-model_v6.csv,A0A140JWM8,28,True
AF-A0A178U9T0-F1-model_v6.csv,A0A178U9T0,0,False
AF-A0A178UDM7-F1-model_v6.csv,A0A178UDM7,0,False
AF-A0A178UFC4-F1-model_v6.csv,A0A178UFC4,0,False
AF-A0A178UIE7-F1-model_v6.csv,A0A178UIE7,0,False
AF-A0A178ULY3-F1-model_v6.csv,A0A178ULY3,2,True
AF-A0A178UN75-F1-model_v6.csv,A0A178UN75,11,True
AF-A0A178UQA6-F1-model_v6.csv,A0A178UQA6,36,True
AF-A0A178UQR8-F1-model_v6.csv,A0A178UQR8,0,False
AF-A0A178URU8-F1-model_v6.csv,A0A178URU8,16,True
AF-A0A178UUY0-F1-model_v6.csv,A0A178UUY0,19,True
AF-A0A178UVL2-F1-model_v6.csv,A0A178UVL2,0,False
AF-A0A178UWL0-F1-model_v6.csv,A0A178UWL0,44,True
AF-A0A178UWM9-F1-model_v6.csv,A0A178UWM9,0,False
AF-A0A178UXH8-F1-model_v6.csv,A0A178UXH8,226,True
AF-A0A178UYZ3-F1-model_v6.csv,A0A178UYZ3,5,True
AF-A0A178UZR1-F1-model_v6.csv,A0A178UZR1,0,False
AF-A0A178V119-F1-model_v6.csv,A0A178V119,8,True
AF-A0A178V165-F1-model_v6.csv,A0A178V165,0,False
AF-A0A178V266-F1-model_v6.csv,A0A178V266,4,True
AF-A0A178V3G1-F1-model_v6.csv,A0A178V3G1,0,False
AF-A0A178V490-F1-model_v6.csv,A0A178V490,109,True
AF-A0A178V5Q1-F1-model_v6.csv,A0A178V5Q1,0,False
AF-A0A178V7N9-F1-model_v6.csv,A0A178V7N9,1,True
AF-A0A178V9P2-F1-model_v6.csv,A0A178V9P2,0,False
AF-A0A178VAW3-F1-model_v6.csv,A0A178VAW3,90,True
AF-A0A178VBH8-F1-model_v6.csv,A0A178VBH8,16,True
AF-A0A178VBJ0-F1-model_v6.csv,A0A178VBJ0,2,True
AF-A0A178VE74-F1-model_v6.csv,A0A178VE74,23,True
AF-A0A178VEK7-F1-model_v6.csv,A0A178VEK7,0,False
AF-A0A178VGJ3-F1-model_v6.csv,A0A178VGJ3,25,True
AF-A0A178VGR9-F1-model_v6.csv,A0A178VGR9,0,False
AF-A0A178VGS0-F1-model_v6.csv,A0A178VGS0,0,False
AF-A0A178VIK9-F1-model_v6.csv,A0A178VIK9,0,False
AF-A0A178VM33-F1-model_v6.csv,A0A178VM33,0,False
AF-A0A178VM97-F1-model_v6.csv,A0A178VM97,0,False
AF-A0A178VNT0-F1-model_v6.csv,A0A178VNT0,0,False
AF-A0A178VPF6-F1-model_v6.csv,A0A178VPF6,0,False
